feature,anova_f_score,anova_p_value
Reflectance,506142.5078903649,0.0
loss,56412.82936692865,0.0
P1,20213.148740915647,0.0
P2,19022.25366915192,0.0
P3,17207.15667971313,0.0
P4,15274.97000101906,0.0
P5,13090.66769334364,0.0
P6,11156.820654511395,0.0
Position,9392.555521531845,0.0
P7,9368.80028903298,0.0
SNR,8445.355358894214,0.0
P8,7850.044344561944,0.0
P9,6741.774506942647,0.0
P10,5934.074878659494,0.0
P11,5294.811716720618,0.0
P12,4751.555707468416,0.0
P30,4606.9806580669365,0.0
P29,4324.152972557578,0.0
P26,4146.421383928768,0.0
P28,4121.848255304229,0.0
P13,4101.277874954751,0.0
P27,4084.0031643117563,0.0
P25,4047.296282940808,0.0
P24,3941.6220734228614,0.0
P23,3763.001152824626,0.0
P14,3569.344567167002,0.0
P22,3389.6425904443527,0.0
P15,3079.100874337947,0.0
P21,2951.212614242039,0.0
P16,2565.9217466328905,0.0
P20,2440.5254853085385,0.0
P17,2151.5144470128457,0.0
P19,2068.05925798024,0.0
P18,1964.004540655513,0.0
