feature,mutual_information
loss,1.5930903824774343
Reflectance,1.4118707183052488
SNR,0.9034573256457805
Position,0.589828141761009
P1,0.5198259692730263
P2,0.5062344042271856
P3,0.4740062164999972
P4,0.4452171917197938
P5,0.40939737180054303
P6,0.38675549354426764
P30,0.3831281200753507
P29,0.36352928404230145
P7,0.355783580540602
P28,0.342109042208961
P8,0.32530710066926005
P27,0.3214450902840458
P26,0.30043685706892154
P9,0.29044895285049943
P25,0.2787482283031806
P10,0.2693419206877916
P24,0.2633792462177871
P11,0.25715297510307566
P23,0.24356815814153565
P12,0.2344402194694557
P13,0.21441149627124156
P22,0.21392292981072059
P15,0.19993597784938544
P14,0.19934005249188314
P16,0.18916769727014549
P21,0.18691573127493477
P17,0.1651670357894388
P20,0.15981076570120356
P19,0.14885037270154378
P18,0.14790845548730447
