feature,permutation_importance_mean,permutation_importance_std
loss,0.3343698427263201,0.003509526807600368
Reflectance,0.3240641837359528,0.0034603010438596688
Position,0.16459431545741326,0.0010110562112981012
SNR,0.10027834982132695,0.0016951250848281937
P30,3.7959348072647006e-05,4.649051687334262e-05
P1,0.0,0.0
P2,0.0,0.0
P3,0.0,0.0
P5,0.0,0.0
P4,0.0,0.0
P11,0.0,0.0
P12,0.0,0.0
P13,0.0,0.0
P6,0.0,0.0
P7,0.0,0.0
P8,0.0,0.0
P9,0.0,0.0
P10,0.0,0.0
P18,0.0,0.0
P17,0.0,0.0
P16,0.0,0.0
P15,0.0,0.0
P14,0.0,0.0
P19,0.0,0.0
P21,0.0,0.0
P20,0.0,0.0
P26,0.0,0.0
P25,0.0,0.0
P24,0.0,0.0
P23,0.0,0.0
P22,0.0,0.0
P29,0.0,0.0
P27,0.0,0.0
P28,0.0,0.0
