feature,rf_importance
loss,0.24104276543954134
Reflectance,0.19815588258790853
Position,0.11597353226499327
SNR,0.09485059712173481
P30,0.034866272428010534
P1,0.034567847978707995
P2,0.028361908883325123
P29,0.024331941678674536
P3,0.019783208656102367
P28,0.01818022583934022
P4,0.015600455500728149
P27,0.015543454364750056
P5,0.01284146282124597
P26,0.012275524134040306
P6,0.01193229163759326
P25,0.011081713665285478
P8,0.010126766019767851
P24,0.009978370211735414
P7,0.00839067285683213
P23,0.007686430750171264
P10,0.006521353340725664
P9,0.0063175747293853085
P11,0.006162323266405916
P16,0.005498539155903625
P22,0.005351743621497661
P21,0.005340464860875396
P19,0.005320553121529651
P12,0.005254443145964126
P20,0.005160873261770013
P13,0.00502025461036451
P14,0.004948082364787681
P18,0.004632801525955304
P15,0.004615803181075008
P17,0.004283864973271665
